uf,week,pred,lower_95,lower_90,lower_80,lower_50,upper_50,upper_80,upper_90,upper_95,cases,date
AC,1,46,4,7,11,22,93,161,228.04999999999995,352.2249999999988,54,2023-10-08
AC,2,50,5,8,13,27,95,186.10000000000014,270,368.0499999999997,63,2023-10-15
AC,3,60,5.975000000000001,9,15,31,110,204.10000000000014,295.0999999999999,393.37499999999795,110,2023-10-22
AC,4,69,7,11,18,36,131,245.10000000000014,332.1999999999998,467.0749999999996,138,2023-10-29
AC,5,79,7.975000000000001,13,20,40,153,271.10000000000014,401.39999999999964,568.0999999999995,225,2023-11-05
AC,6,89,10,14,24,45,170,309,456.04999999999995,671.0749999999996,264,2023-11-12
AC,7,94,10,16,25,49,182,336.10000000000014,481.0999999999999,649.0999999999995,364,2023-11-19
AC,8,109,12,17,26.900000000000006,53,202,371,562.2999999999997,850.0249999999999,534,2023-11-26
AC,9,118,12,18,29,60,232,418,600,835.174999999999,877,2023-12-03
AC,10,122,16,22,33,59,245,430.10000000000014,608,833.0249999999999,1105,2023-12-10
AC,11,132,14,21,33,67,253,466.10000000000014,637.05,870.4249999999977,514,2023-12-17
AC,12,141,16,25,38,73,263,498.2000000000003,683.0999999999999,997.3249999999982,474,2023-12-24
AC,13,158.5,18,28,43,78,308,545.1000000000001,803.1499999999999,1112.0249999999999,818,2023-12-31
AC,14,177,22,30,46,87.75,347,615.4000000000005,928.0999999999999,1192.0999999999995,554,2024-01-07
AC,15,202,20,33,52,102,394,712.2000000000003,1056.1,1426.4249999999977,526,2024-01-14
AC,16,213,22,32,52.900000000000006,106.75,413.25,762.4000000000005,1073.05,1467.1499999999992,410,2024-01-21
AC,17,211,24,36,57,107,407.25,750.1000000000001,1116.3499999999997,1531.0499999999997,322,2024-01-28
AC,18,212.5,25,39,59,111,403.5,735.1000000000001,1029.1499999999999,1440.1499999999992,206,2024-02-04
AC,19,198,22,33,50,96.75,375,658,947.2499999999998,1304.2499999999932,162,2024-02-11
AC,20,186,22.975,32,47,95,358.25,625.2000000000003,881.0999999999999,1232.1499999999992,175,2024-02-18
AC,21,164.5,20.975,29,45,84.75,314.5,582.2000000000003,853.5499999999995,1228.1999999999935,173,2024-02-25
AC,22,153,16.975,24.950000000000003,37.900000000000006,74,292.5,527.1000000000001,748.05,980.2999999999984,146,2024-03-03
AC,23,131,15.975000000000001,22,33,64,248.25,460,605.05,933.0499999999997,131,2024-03-10
AC,24,117,12,18,29,58,219,404,611.3499999999997,771.4499999999975,85,2024-03-17
AC,25,112,12,18,29,56,214,366,544.1499999999999,754.2749999999985,106,2024-03-24
AC,26,91,9.975000000000001,16,24,48,182,321,469.2499999999998,676.1249999999993,97,2024-03-31
AC,27,82,9,14,21,42,161.25,303,423.0999999999999,632.0249999999999,99,2024-04-07
AC,28,77,9,13,20,38,148.25,270.10000000000014,397.04999999999995,596,120,2024-04-14
AC,29,69,7,10.950000000000003,18,34,132,244,350,455.2749999999985,90,2024-04-21
AC,30,63,6,10,15,30,116,198,303,414.0499999999997,77,2024-04-28
AC,31,57,6,10,15,30,105,188,270,403.1499999999992,54,2024-05-05
AC,32,50,5,8,12,24,97.25,182,262.14999999999986,359,35,2024-05-12
AC,33,45,5,8,11,23,90,164,236.04999999999995,333,38,2024-05-19
AC,34,39,4,6.950000000000003,10,21,75.25,137.10000000000014,197.04999999999995,282.02499999999986,48,2024-05-26
AC,35,37,3,5,8,18,71,125.10000000000014,182.04999999999995,270.02499999999986,28,2024-06-02
AC,36,32,3,4,7,16,63,109,152,204.02499999999986,33,2024-06-09
AC,37,30,2,4,7,15,57,105,143.04999999999995,206.02499999999986,27,2024-06-16
AC,38,26,2,4,6.900000000000006,13,50,91,126.04999999999995,179.02499999999986,33,2024-06-23
AC,39,26,2.9750000000000014,4,6,12,50,93,130.04999999999995,183,32,2024-06-30
AC,40,24.5,2,3,6,12,48,84,123.04999999999995,175,25,2024-07-07
AC,41,23,2,3,6,11,45,81,122,161.02499999999986,24,2024-07-14
AC,42,22,2,3,5,11,43,75,107.04999999999995,163,17,2024-07-21
AC,43,21,2,3,5,10,40,77.10000000000014,109.09999999999991,151.04999999999973,26,2024-07-28
AC,44,21,2,3,5,10,41,76,104.04999999999995,139.04999999999973,28,2024-08-04
