uf,week,pred,lower_95,lower_90,lower_80,lower_50,upper_50,upper_80,upper_90,upper_95,cases,date
AC,1,48,4,6,11,23,99,178,268.0999999999999,397.0499999999997,31,2022-10-09
AC,2,54,4,8,12,27,110,202.20000000000027,299,418.4249999999977,38,2022-10-16
AC,3,60,6,10,16,31,129,245,346.0999999999999,513.1249999999993,43,2022-10-23
AC,4,74,7,12,18,37,148,276.10000000000014,387.14999999999986,585.174999999999,35,2022-10-30
AC,5,87,8,13,20,42,180.25,333.10000000000014,460.0999999999999,692.0749999999996,40,2022-11-06
AC,6,94,10,16,23,48,188,363,580.0999999999999,785.4249999999977,30,2022-11-13
AC,7,105,11,17,26,51,220,398.3000000000004,580,893.374999999998,20,2022-11-20
AC,8,114.5,10,18,29,56.75,229,432.5000000000007,663.0999999999999,937.0999999999995,30,2022-11-27
AC,9,126,10,19,31,62,246,478,694.3499999999997,1046.6499999999965,12,2022-12-04
AC,10,136,12,20,33,67,254.25,497.10000000000014,736.0999999999999,1006.174999999999,12,2022-12-11
AC,11,146,13,20,35,72,285,527,802.1499999999999,1121.2999999999984,13,2022-12-18
AC,12,149,17,25,38,76,304.25,572.1000000000001,833.05,1190.0999999999995,44,2022-12-25
AC,13,171.5,17,25,41,84.75,335,649.4000000000005,912.3999999999996,1316.0999999999995,133,2023-01-01
AC,14,184,17,28,47,94,367.25,707.1000000000001,1010.2499999999998,1567.174999999999,127,2023-01-08
AC,15,203,23,35,52,103,413.5,734.1000000000001,1054.1,1344.199999999999,155,2023-01-15
AC,16,209,20,33,51.900000000000006,106,420.25,833.2000000000003,1178,1730.7999999999956,180,2023-01-22
AC,17,218,19.975,33.95,53.900000000000006,110.75,428,819,1145.199999999999,1702.7749999999958,191,2023-01-29
AC,18,209,21.975,33,54,107,404,790.3000000000004,1207.3999999999996,1810.2749999999985,196,2023-02-05
AC,19,196,21,31,48.900000000000006,96.75,386,734.2000000000003,1050.1499999999999,1686.749999999996,204,2023-02-12
AC,20,177,19,28,43,86,354.25,661.1000000000001,953.3999999999996,1405.1499999999992,192,2023-02-19
AC,21,154.5,15,22,38,77,308.25,583.2000000000003,851.2999999999997,1268.0749999999996,257,2023-02-26
AC,22,139,13,22,35,71,271.25,518.3000000000004,759.05,1109.174999999999,231,2023-03-05
AC,23,122,11,17.950000000000003,28,58,243,447.10000000000014,695.2999999999997,971.3249999999982,288,2023-03-12
AC,24,106,11,17,27,54,202.25,400.10000000000014,580.2999999999997,885.0749999999996,231,2023-03-19
AC,25,94,10,15,23,45,179,346,504.14999999999986,705.6999999999962,197,2023-03-26
AC,26,80,7,12,19,40,160,304.2000000000003,449,610.0749999999996,177,2023-04-02
AC,27,72,6,11,18.900000000000006,37,141,271.10000000000014,413.14999999999986,583.1999999999989,198,2023-04-09
AC,28,67,6,10,16,34,132,256,367.2499999999998,514.0249999999999,203,2023-04-16
AC,29,59,6,10,15,29,117,220.10000000000014,327.04999999999995,477,126,2023-04-23
AC,30,54,5,8,13.900000000000006,26,111,211.10000000000014,307.2499999999998,441.02499999999986,134,2023-04-30
AC,31,51,4,7,13,26,99,186,275.04999999999995,386.1249999999993,87,2023-05-07
AC,32,47,4,7,11,22.75,90,169,240.04999999999995,360.1999999999989,103,2023-05-14
AC,33,43,3.9750000000000014,6,10,20,84,161,233,325,77,2023-05-21
AC,34,37,4,6,8,18,73,146.10000000000014,212.04999999999995,291.1249999999993,60,2023-05-28
AC,35,33,3,4,7.900000000000006,16,69,123,176,248.09999999999945,60,2023-06-04
AC,36,31,3,4,7,14,61,114,168.0999999999999,244.02499999999986,27,2023-06-11
AC,37,27,2,3,6,13,55,100,149.0999999999999,217.02499999999986,41,2023-06-18
AC,38,25,2,4,6,13,51,96,138,197,29,2023-06-25
AC,39,23,2,3,5,11,47,91,137,200.09999999999945,27,2023-07-02
AC,40,23,2,3,5,11,45,83,122.14999999999986,172,37,2023-07-09
AC,41,21,1,3,5,10,42,82,115,157,33,2023-07-16
AC,42,21,1.9750000000000014,3,5,10,42,80,118,170.04999999999973,23,2023-07-23
AC,43,21,1,2,4,10,40,75,109.04999999999995,149,32,2023-07-30
AC,44,20,1,2,4,10,40,74.10000000000014,109.04999999999995,150.04999999999973,40,2023-08-06
AC,45,20,1,3,4,9,43,79,116.04999999999995,174.04999999999973,34,2023-08-13
AC,46,22,2,3,5,10,42,76,113.04999999999995,177,26,2023-08-20
AC,47,22,2,3,5,11,44,85,128.04999999999995,184.02499999999986,37,2023-08-27
AC,48,25,2,3,5,12,50,98,145,208,18,2023-09-03
AC,49,28,2,3,6,14,55,100,150,206.02499999999986,33,2023-09-10
AC,50,31,2,4,7,15,61,121,174,259,52,2023-09-17
AC,51,36,3,5,9,18,74,142,212.04999999999995,286,36,2023-09-24
AC,52,42,4,6,10,21,87,161,231.04999999999995,304.0499999999997,55,2023-10-01
AL,1,102,8,13,22,44,240,537,938.7499999999993,1555.8749999999952,133,2022-10-09
AL,2,98,8,12,19,43,241,529.4000000000005,900.5999999999995,1614.7749999999958,138,2022-10-16
AL,3,96,7.975000000000001,11,19,41,217.5,480.10000000000014,849.05,1496.9999999999945,79,2022-10-23
AL,4,90,7,12,18,40,206,470,790.0999999999999,1455.0249999999999,79,2022-10-30
AL,5,82.5,6,9,16,34,194.25,443,727.2499999999998,1270.8749999999952,79,2022-11-06
AL,6,81,6.975000000000001,10,16,36,179.25,409.2000000000003,678.05,1183.274999999993,79,2022-11-13
AL,7,68,5,9,13,29,163.25,382.10000000000014,679,1235.0999999999995,62,2022-11-20
AL,8,64,6,8,13,28,153.25,355.10000000000014,584.2999999999997,1013.2749999999985,40,2022-11-27
AL,9,61,4,7,12,28.75,137,312.10000000000014,568.1499999999999,1013.1999999999989,40,2022-12-04
AL,10,58,5,7,11,25,145,333.10000000000014,526.4499999999996,961.0249999999999,22,2022-12-11
AL,11,54.5,5,7,11.900000000000006,25,135.25,318.2000000000003,539.0999999999999,942.0499999999997,21,2022-12-18
AL,12,58,4,7,12,25,128,297,522,852.0999999999885,19,2022-12-25
AL,13,57,4,6,12,25,140,332,599.05,921.0249999999999,50,2023-01-01
AL,14,66,5,8,13,27,146.25,320,549,942.3249999999982,55,2023-01-08
AL,15,67,6,9,14,30,152,341,556.05,972.2499999999986,46,2023-01-15
AL,16,68,5.975000000000001,9,15,31,160.25,357.2000000000003,698.0999999999999,1171.174999999999,35,2023-01-22
AL,17,70,6,9,16,31,178,384.5000000000007,698.2499999999998,1239.0249999999999,51,2023-01-29
AL,18,81.5,6.975000000000001,10,16,33.75,192,425,770.1499999999999,1277.0249999999944,68,2023-02-05
AL,19,83,7,10,17,37,196,484.40000000000055,777,1459.0749999999996,54,2023-02-12
AL,20,88,7,12,19,40,207,503.10000000000014,798.0999999999999,1272.0999999999995,56,2023-02-19
AL,21,90,7,11,20,41,220,519.4000000000005,960.4499999999996,1777.8499999999954,78,2023-02-26
AL,22,102,8,12,20,45,223.25,519.2000000000003,1050.4499999999996,1565.6749999999963,74,2023-03-05
AL,23,102,7,11,19,44,252,556.1000000000001,974.0999999999999,1514.024999999989,91,2023-03-12
AL,24,107,9.975000000000001,15,22,48,262.25,639,1183.2499999999998,2035.1499999999992,110,2023-03-19
AL,25,130,9,14,23.900000000000006,54,285.5,627.2000000000003,1133.4999999999995,2120.74999999999,121,2023-03-26
AL,26,136,11,17,26,56,323.25,762.2000000000003,1324.1,2360.0999999999995,159,2023-04-02
AL,27,149,12.975000000000001,18,30,64,355.25,777.700000000001,1300,2376.0499999999997,163,2023-04-09
AL,28,170,14,20,37,74.75,398.5,923.8000000000011,1458.6999999999994,2883.0499999999993,146,2023-04-16
AL,29,199,13.975000000000001,23,36,86,454.25,969.6000000000008,1678.4499999999987,2916.374999999998,127,2023-04-23
AL,30,223,17.975,30,49,103,523.25,1187.1000000000001,2044.1999999999998,3770.0249999999996,147,2023-04-30
AL,31,256.5,22,35,54,113.75,581.75,1320.0000000000014,2479.0999999999976,4307.199999999999,137,2023-05-07
AL,32,274,23,38,55,126,651,1448.1000000000001,2361.0499999999997,5191.774999999974,111,2023-05-14
AL,33,313.5,23.975,38,63,135,736.25,1604.9000000000026,2677.0999999999995,4537.774999999969,126,2023-05-21
